Time (sec),Max Height X,Max Height Y
8.9,0.2964938088,0.2275624894
8.933310658,0.2947004474,0.2127124572
8.966666667,0.2934466461,0.2171613691
9,0.2946356646,0.2171613691
9.033310658,0.2946356646,0.2171613691
9.066666667,0.2946356646,0.2171613691
9.1,0.2946356646,0.2171613691
9.133310658,0.2852799635,0.2171613691
9.166666667,0.2860720825,0.2183013681
9.2,0.2910958859,0.2154018074
9.233310658,0.2923945559,0.2257894869
9.266666667,0.2916245253,0.2257894869
9.3,0.2822377917,0.2249973679
9.333310658,0.2785963668,0.2249973679
9.366666667,0.2679750047,0.2249973679
9.4,0.2679750047,0.2249973679
9.433310658,0.2672268649,0.2249973679
9.466666667,0.2839979463,0.2307437144
9.5,0.2885964861,0.2315575759
9.533310658,0.3021670213,0.2361163863
9.566666667,0.3115832062,0.2184629545
9.6,0.3066121283,0.207037861
9.633310658,0.3090642875,0.2116579457
9.666666667,0.3090642875,0.2120581066
9.7,0.3048430296,0.2133919105
9.733310658,0.3048430296,0.2133919105
9.766666667,0.3048430296,0.2133919105
9.8,0.3048430296,0.2133919105
9.833310658,0.3048430296,0.2133919105
9.866666667,0.3048430296,0.2133919105
9.9,0.3048430296,0.2225747587
9.933310658,0.3048430296,0.2225747587
9.966666667,0.2924607223,0.2203072131
10,0.2972999121,0.2203072131
10.03331066,0.2935132572,0.2203072131
10.06666667,0.2935132572,0.2203072131
10.1,0.2935132572,0.2203072131
10.13331066,0.2935132572,0.2203072131
10.16666667,0.2935132572,0.2203072131
10.2,0.2866508778,0.2259421786
10.23331066,0.2866508778,0.2259421786
10.26666667,0.2838534575,0.2259421786
10.3,0.2838534575,0.2259421786
10.33331066,0.2804613302,0.226824529
10.36666667,0.2754260624,0.226824529
10.4,0.2754260624,0.226824529
10.43331066,0.2589877896,0.228168117
10.46666667,0.2636763138,0.228168117
10.5,0.2611446462,0.2273758003
10.53331066,0.2543420093,0.2218873002
10.56666667,0.251984084,0.2141781985
10.6,0.251984084,0.2141781985
10.63331066,0.2515994393,0.2145517743
10.66666667,0.2515994393,0.2145517743
10.7,0.2524137949,0.2141780009
10.73331066,0.2664575755,0.2141780009
10.76666667,0.2789228503,0.2141780009
10.8,0.2831579938,0.2141780009
10.83331066,0.2860052737,0.2141780009
10.86666667,0.2851660624,0.2141780009
10.9,0.2867939336,0.2263087375
10.93331066,0.2876045337,0.2271012518
10.96666667,0.2888573962,0.2291242931
